Arrt;Code;Bibliothèques;prêts adultes;prêts discothèque;prêts jeunesse;prêts vidéothèque;prêts fds spéc. / partitions / réserve;prêts pôles thém. / langues;Prêts documents de la Réserve Centrale;TOTAL;Dont prêts automates;;;;;
;;;;;;;;;;;;;;;;
7;32;Amélie; 	4.909   ; 	683   ; 	3.191   ; 	-00   ; 	-00   ; 	-00   ; 	151   ; 	8.934   ;;;;;;
6;6;André Malraux; 	16.383   ; 	6.703   ; 	5.014   ; 	4.601   ; 	-00   ; 	-00   ; 	295   ; 	32.996   ;;;;;;
17;35;Batignolles; 	6.847   ; 	1.594   ; 	2.151   ; 	-00   ; 	-00   ; 	-00   ; 	96   ; 	10.688   ;;;;;;
4;4;Baudoyer; 	4.992   ; 	-00   ; 	1.308   ; 	-00   ; 	-00   ; 	-00   ; 	89   ; 	6.389   ;;;;;;
15;34;Beaugrenelle; 	14.028   ; 	9.681   ; 	7.784   ; 	6.614   ; 	-00   ; 	1.267   ; 	196   ; 	39.570   ;;;;;;
19;56;Benjamin Rabier; 	-00   ; 	-00   ; 	11.132   ; 	-00   ; 	-00   ; 	-00   ; 	35   ; 	11.167   ;;;;;;
17;49;Brochant; 	-00   ; 	-00   ; 	6.297   ; 	-00   ; 	-00   ; 	-00   ; 	21   ; 	6.318   ;;;;;;
5;33;Buffon; 	12.129   ; 	5.831   ; 	2.470   ; 	-00   ; 	697   ; 	1.353   ; 	178   ; 	22.658   ;;;;;;
9;24;Chaptal; 	3.784   ; 	1.818   ; 	9.269   ; 	2.792   ; 	-00   ; 	-00   ; 	152   ; 	17.815   ;;;;;;
2;2;Charlotte Delbo; 	5.287   ; 	-00   ; 	1.792   ; 	823   ; 	-00   ; 	-00   ; 	85   ; 	7.987   ;;;;;;
10;10;Château d'eau; 	5.539   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	665   ; 	98   ; 	6.302   ;;;;;;
18;18;Clignancourt; 	23.991   ; 	12.796   ; 	10.832   ; 	5.748   ; 	198   ; 	-00   ; 	363   ; 	53.928   ; 	47.730   ;;;;;
8;45;Courcelles; 	-00   ; 	-00   ; 	6.670   ; 	-00   ; 	-00   ; 	-00   ; 	15   ; 	6.685   ;;;;;;
20;37;Couronnes; 	7.721   ; 	5.090   ; 	4.263   ; 	-00   ; 	-00   ; 	1.180   ; 	212   ; 	18.466   ;;;;;;
