Arrt;Code;Bibliothèques;prêts adultes;dont prolongations bib;dont prolongations portail;prêts discothèque;dont prolongations bib;dont prolongations portail;prêts jeunesse;dont prolongations bib;dont prolongations portail;prêts vidéothèque;dont prolongations bib;dont prolongations portail;prêts fds spéc. / partitions / réserve;dont prolongations bib;dont prolongations portail;prêts pôles thém. / langues;dont prolongations bib;dont prolongations portail;Prêts documents de la Réserve Centrale;dont prolongations bib;TOTAL;Dont prêts automates;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;32;Amélie; 	4.749   ; 	257   ; 	475   ; 	996   ; 	34   ; 	134   ; 	3.714   ; 	108   ; 	166   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	211   ; 	22   ; 	9.670   ; 	-00   ;;;;;
6;6;André Malraux; 	18.128   ; 	872   ; 	3.032   ; 	6.654   ; 	166   ; 	876   ; 	7.865   ; 	305   ; 	635   ; 	5.183   ; 	136   ; 	586   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	448   ; 	20   ; 	38.278   ; 	-00   ;;;;;
17;35;Batignolles; 	8.672   ; 	369   ; 	1.073   ; 	1.567   ; 	53   ; 	136   ; 	3.338   ; 	69   ; 	185   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	172   ; 	22   ; 	13.749   ; 	-00   ;;;;;
4;4;Baudoyer; 	5.586   ; 	241   ; 	907   ; 	-00   ; 	-00   ; 	-00   ; 	2.401   ; 	53   ; 	278   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	109   ; 	8   ; 	8.096   ; 	-00   ;;;;;
15;34;Beaugrenelle; 	15.175   ; 	544   ; 	2.494   ; 	10.471   ; 	208   ; 	1.268   ; 	10.677   ; 	269   ; 	1.121   ; 	6.682   ; 	87   ; 	690   ; 	-00   ; 	-00   ; 	-00   ; 	1.245   ; 	54   ; 	317   ; 	222   ; 	11   ; 	44.472   ; 	-00   ;;;;;
19;56;Benjamin Rabier; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	11.469   ; 	203   ; 	640   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	59   ; 	1   ; 	11.528   ; 	-00   ;;;;;
17;49;Brochant; 	476   ; 	25   ; 	75   ; 	-00   ; 	-00   ; 	-00   ; 	9.392   ; 	340   ; 	681   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	32   ; 	3   ; 	9.900   ; 	-00   ;;;;;
5;33;Buffon; 	11.906   ; 	531   ; 	2.804   ; 	5.468   ; 	139   ; 	735   ; 	3.409   ; 	63   ; 	366   ; 	-00   ; 	-00   ; 	-00   ; 	846   ; 	32   ; 	263   ; 	1.518   ; 	66   ; 	494   ; 	190   ; 	15   ; 	23.337   ; 	-00   ;;;;;
9;24;Chaptal; 	4.622   ; 	207   ; 	570   ; 	2.139   ; 	112   ; 	227   ; 	13.328   ; 	386   ; 	991   ; 	3.777   ; 	137   ; 	303   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	191   ; 	26   ; 	24.057   ; 	-00   ;;;;;
2;2;Charlotte Delbo; 	5.062   ; 	113   ; 	765   ; 	-00   ; 	-00   ; 	-00   ; 	2.695   ; 	64   ; 	153   ; 	673   ; 	13   ; 	133   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	99   ; 	8   ; 	8.529   ; 	-00   ;;;;;
10;10;Château d'eau; 	5.219   ; 	167   ; 	763   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	770   ; 	19   ; 	204   ; 	107   ; 	4   ; 	6.096   ; 	-00   ;;;;;
18;18;Clignancourt; 	28.062   ; 	984   ; 	3.724   ; 	15.035   ; 	150   ; 	1.397   ; 	14.650   ; 	244   ; 	853   ; 	7.693   ; 	111   ; 	550   ; 	207   ; 	7   ; 	66   ; 	-00   ; 	-00   ; 	-00   ; 	483   ; 	36   ; 	66.130   ; 	55.969   ;;;;;
8;45;Courcelles; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	10.027   ; 	307   ; 	974   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	31   ; 	3   ; 	10.058   ; 	-00   ;;;;;
20;37;Couronnes; 	6.184   ; 	307   ; 	694   ; 	3.886   ; 	130   ; 	293   ; 	5.258   ; 	163   ; 	330   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.176   ; 	75   ; 	262   ; 	166   ; 	9   ; 	16.670   ; 	-00   ;;;;;
19;53;Crimée; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	11.171   ; 	180   ; 	777   ; 	-00   ; 	-00   ; 	-00   ; 	72   ; 	1   ; 	3   ; 	-00   ; 	-00   ; 	-00   ; 	31   ; 	2   ; 	11.274   ; 	-00   ;;;;;
12;42;Diderot; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	6.441   ; 	303   ; 	460   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	19   ; 	1   ; 	6.460   ; 	-00   ;;;;;
9;9;Drouot; 	4.320   ; 	141   ; 	802   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.032   ; 	47   ; 	334   ; 	80   ; 	9   ; 	5.432   ; 	-00   ;;;;;
17;77;Edmond Rostand; 	9   ; 	-00   ; 	-00   ; 	1   ; 	-00   ; 	-00   ; 	3   ; 	-00   ; 	-00   ; 	2   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	15   ; 	-00   ;;;;;
8;8;Europe; 	3.244   ; 	115   ; 	477   ; 	1.297   ; 	32   ; 	221   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	87   ; 	6   ; 	4.628   ; 	-00   ;;;;;
11;11;Faidherbe; 	16.980   ; 	637   ; 	2.906   ; 	6.114   ; 	142   ; 	585   ; 	16.169   ; 	544   ; 	1.850   ; 	1.085   ; 	44   ; 	189   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	294   ; 	17   ; 	40.642   ; 	-00   ;;;;;
19;25;Fessart; 	4.829   ; 	212   ; 	505   ; 	-00   ; 	-00   ; 	-00   ; 	4.108   ; 	128   ; 	61   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	126   ; 	12   ; 	9.063   ; 	-00   ;;;;;
19;38;Flandre; 	19.008   ; 	504   ; 	3.324   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	6.375   ; 	111   ; 	528   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	276   ; 	37   ; 	25.659   ; 	14.416   ;;;;;
10;44;François Villon; 	14.199   ; 	499   ; 	2.476   ; 	8.253   ; 	140   ; 	1.071   ; 	9.753   ; 	209   ; 	609   ; 	7.494   ; 	131   ; 	697   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	260   ; 	9   ; 	39.959   ; 	-00   ;;;;;
14;14;Georges Brassens; 	14.866   ; 	551   ; 	1.947   ; 	-00   ; 	-00   ; 	-00   ; 	12.444   ; 	267   ; 	1.012   ; 	6.198   ; 	100   ; 	519   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	226   ; 	11   ; 	33.734   ; 	-00   ;;;;;
13;30;Glacière; 	7.070   ; 	303   ; 	806   ; 	2.690   ; 	55   ; 	364   ; 	9.712   ; 	363   ; 	763   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	123   ; 	11   ; 	19.595   ; 	-00   ;;;;;
18;59;Goutte d'Or; 	5.986   ; 	242   ; 	854   ; 	4.157   ; 	65   ; 	493   ; 	5.264   ; 	117   ; 	343   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	189   ; 	7   ; 	40   ; 	104   ; 	7   ; 	15.700   ; 	-00   ;;;;;
15;75;Gutenberg; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	15.410   ; 	568   ; 	796   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	40   ; 	12   ; 	15.450   ; 	-00   ;;;;;
19;57;Hergé; 	-00   ; 	-00   ; 	-00   ; 	7.318   ; 	125   ; 	895   ; 	9.631   ; 	212   ; 	832   ; 	137   ; 	6   ; 	17   ; 	664   ; 	42   ; 	143   ; 	-00   ; 	-00   ; 	-00   ; 	125   ; 	4   ; 	17.875   ; 	-00   ;;;;;
