Arrt;Code;Bibliothèques de prêt;prêts adultes;dont prolongations bib;dont prolongations portail;prêts discothèque;dont prolongations bib;dont prolongations portail;prêts jeunesse;dont prolongations bib;dont prolongations portail;prêts vidéothèque;dont prolongations bib;dont prolongations portail;prêts fds spéc. / partitions / réserve;dont prolongations bib;dont prolongations portail;prêts pôles thém. / langues;dont prolongations bib;dont prolongations portail;Prêts documents de la Réserve Centrale;dont prolongations bib;TOTAL;Dont prêts automates;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;41;Aimé Césaire; 	3.794   ; 	175   ; 	429   ; 	745   ; 	17   ; 	64   ; 	3.012   ; 	78   ; 	213   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	140   ; 	1   ; 	7.691   ; 	-00   ;;;;;
7;32;Amélie; 	3.094   ; 	74   ; 	276   ; 	768   ; 	10   ; 	82   ; 	447   ; 	26   ; 	19   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	153   ; 	2   ; 	4.462   ; 	-00   ;;;;;
6;6;André Malraux; 	204   ; 	11   ; 	123   ; 	59   ; 	9   ; 	35   ; 	114   ; 	4   ; 	5   ; 	112   ; 	5   ; 	36   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	5   ; 	-00   ; 	494   ; 	-00   ;;;;;
17;35;Batignolles; 	56   ; 	4   ; 	24   ; 	-00   ; 	-00   ; 	-00   ; 	28   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	6   ; 	-00   ; 	90   ; 	-00   ;;;;;
4;4;Baudoyer; 	3.285   ; 	51   ; 	380   ; 	-00   ; 	-00   ; 	-00   ; 	980   ; 	26   ; 	109   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	127   ; 	2   ; 	4.392   ; 	-00   ;;;;;
15;34;Beaugrenelle; 	21   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	19   ; 	17   ; 	-00   ; 	36   ; 	20   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	4   ; 	-00   ; 	80   ; 	-00   ;;;;;
19;56;Benjamin Rabier; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	6.964   ; 	162   ; 	379   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	54   ; 	-00   ; 	7.018   ; 	-00   ;;;;;
5;33;Buffon; 	7.594   ; 	216   ; 	1.428   ; 	3.050   ; 	117   ; 	522   ; 	1.617   ; 	44   ; 	228   ; 	-00   ; 	-00   ; 	-00   ; 	396   ; 	15   ; 	102   ; 	1.184   ; 	53   ; 	284   ; 	134   ; 	1   ; 	13.975   ; 	-00   ;;;;;
9;24;Chaptal; 	3.323   ; 	148   ; 	432   ; 	1.151   ; 	54   ; 	146   ; 	5.759   ; 	165   ; 	666   ; 	2.481   ; 	94   ; 	311   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	158   ; 	11   ; 	12.872   ; 	-00   ;;;;;
